PEDIDO,OS,FABRICANTE,STATUS,DESCRIÇÃO PRODUTO,COD,BTUS,NF FABRICANTE,LIQUIDAÇÃO,SETOR,FOTOS,DEFEITO,ALERTA
395741N,6806,MIDEA,ABERTO,(004) 004613 - Cond. Teto 38CCVD48515MC Xpower Inverter (R-32) FRIO 220V - Carrier,004613,48000,,,OUTROS,SEM FOTO,MAQUINA NOVA EM PERFEITAS CONDIÇÕES  (somente vender com o par),
397553N,6813,SAMSUNG,ABERTO,(003) 030045 - Cond DVM 12HP AM120KXMDFH Q/F 220V - Samsung,030045,12,,,DANIFICADOS,https://photos.app.goo.gl/8cKuhuEZbd6ZFz8r9,MÁQUINA AMASSADA... COM AVARIA NA EMBALAGEM E AVARIA NO PÉ (DE MADEIRA/PALETE).,
392899N,6814,DAIKIN,ABERTO,(005) 005245 - Cond K7 RZQ42AVL Sky Air - QF - Daikin,005245,42000,,,DANIFICADOS,https://photos.app.goo.gl/EEeXmF6EMDQFHNpe8,MERCADORIA EM PERFEITO ESTADO - MOVIDO PARA O ESTOQUE DE DANIFICADOS POIS É NECESSÁRIO REFAZER A BASE DA CONDENSADORA (A BASE ORIGINAL E COMPOSTA POR MADEIRA E ISOPOR RÍGIDO) NO MOMENTO NÃO TEMOS ISOPOR QUE SUPORTE O PESO DA CONDENSADORA (+ 100 KG). ,
393534N,6817,SAMSUNG,ABERTO,(003) 030244 - Evap K74v AM030NN4DCH - Samsung,030244,30000,,,DANIFICADOS,https://photos.app.goo.gl/zxwa64XJSvaNxx7v6,Máquina está com defeito na placa ,
409093N,6852,LG,ABERTO,(002) 002160 - Cond. S3UQ12JA31K - DUAL Inverter Voice +IA (R-32) - Frio - LG,002160,12000,,,OUTROS,https://photos.app.goo.gl/RAPTVYtusJ2irjiF7,maquina em perfeito estado,
404714N,6853,AGRATTO,ABERTO,(006) 006001 - AGRATTO MOD-CAR12 Cortina de Ar 120cm,006001,0,,,FABRICANTE,,,
400734N,6854,MIDEA,ABERTO,(004) 004608 - Evap. Teto 42ZQVD36C5 Xpower Inverter (R-32) 220V - Carrier,004608,36000,,,FABRICANTE,,,
415636N,6882,DAIKIN,ABERTO,(005) 005571 - Evap. K71v (CCXS12PVM) - Daikin,005571,12000,,,DANIFICADOS,https://photos.app.goo.gl/3UVtTFvxzzK1eief6,FALTA  CONTROLE / MANUAL / PLACA RECPTORA /DRENO /VALVULA ,
417924N,6891,DAIKIN,ABERTO,(005) 005514 - Cond. 3MKC18S5VL p/ R32 - MULTI - Frio - Daikin,005514,18000,,,FABRICANTE,,,
443880N,6943,DAIKIN,ABERTO,(005) 005573 - Painel K71v BC50P-WF MULTI - Daikin,005573,0,,,FABRICANTE,,,
