Nº DE CONTROLE,PEDIDO,OS,FABRICANTE ,STATUS,DESCRIÇÃO PRODUTO,COD,BTUS,NF FABRICANTE,LIQUIDAÇÃO,SETOR,ESTOQUE,ATENDER PEDIDO,ALERTA
26,,SEM OS,SAMSUNG,,SEMI - Painel K71v (07~12) PC1NUSMAN,999910,,,,CONVERTIDO,SEMI,,PAINEIS MOLHADOS E CONVERTIDO EM DANIFICADOS SEM OS.. ADAILTON CIENTE
27,,SEM OS,SAMSUNG,,SEMI - Painel K71v (07~12) PC1NUSMAN,999910,,,,CONVERTIDO,SEMI,,PAINEIS MOLHADOS E CONVERTIDO EM DANIFICADOS SEM OS.. ADAILTON CIENTE
28,,SEM OS,LG,,SEMI - Evap. K7 ATNW60GMLP1.ANWZBR1 s/ Painel - LG,999915,,,,CONVERTIDO,SEMI,,NOVO - MAS SEM PAINEL
29,,SEM OS,LG,,SEMI - Evap. K7 ATNW60GMLP1.ANWZBR1 s/ Painel - LG,999915,,,,CONVERTIDO,SEMI,,NOVO - MAS SEM PAINEL
30,,SEM OS,TRANE,,SEMI - Cond. Mini 03HP 4TVH0027GF000AA TVR II 220V Q/F - Trane,999916,,,,CONVERTIDO,SEMI,,VEIO DO SHOWROOM DA UNIS - CARLOS QUE FEZ O PROCESSO
31,,SEM OS,TRANE,,SEMI - Evap. PT 4TVX0012EF000AA - Trane,999917,,,,CONVERTIDO,SEMI,,VEIO DO SHOWROOM DA UNIS - CARLOS QUE FEZ O PROCESSO
32,,SEM OS,GREE,,Cond. GMV80WL - GREMAR013 - Promocional,7054,,,,,VENDA,,mockup RODOLFO
33,,SEM OS,GREE,,Painel Frontal GREMPI010 - Promocional,7055,,,,,VENDA,,mockup RODOLFO
34,,SEM OS,GREE,,Evap. K7 8 vias GREMUN018 - GMV-ND140T/D1-T - Promocional,7056,,,,,VENDA,,mockup RODOLFO
35,,SEM OS,GREE,,Cond. GREMUN023 - Promocional,7057,,,,,VENDA,,mockup RODOLFO
